sample,type,value,iso
TIE,"Untreated, Unbaked, 50 Rxn Temp",1.14,O
BOO-11,"Untreated, Unbaked, 50 Rxn Temp",2.42,O
FE 01,"Untreated, Unbaked, Own Rxn Temp",-0.11,C
FE 02,"Untreated, Unbaked, Own Rxn Temp",0.19,C
FE 03,"Untreated, Unbaked, Own Rxn Temp",-0.02,C
FE 04,"Untreated, Unbaked, Own Rxn Temp",-0.16,C
FE 05,"Untreated, Unbaked, Own Rxn Temp",-0.2,C
FE 06,"Untreated, Unbaked, Own Rxn Temp",0.14,C
FE 07,"Untreated, Unbaked, Own Rxn Temp",-0.24,C
FE 08,"Untreated, Unbaked, Own Rxn Temp",-0.01,C
TIE,"Untreated, Unbaked, Own Rxn Temp",0.01,C
BOO-11,"Untreated, Unbaked, Own Rxn Temp",0.15,C
FE 01,"Untreated, Unbaked, Own Rxn Temp",-0.19,O
FE 02,"Untreated, Unbaked, Own Rxn Temp",0.21,O
FE 03,"Untreated, Unbaked, Own Rxn Temp",0.96,O
FE 04,"Untreated, Unbaked, Own Rxn Temp",-0.56,O
FE 05,"Untreated, Unbaked, Own Rxn Temp",-0.19,O
FE 06,"Untreated, Unbaked, Own Rxn Temp",0.04,O
FE 07,"Untreated, Unbaked, Own Rxn Temp",-0.19,O
FE 08,"Untreated, Unbaked, Own Rxn Temp",0.34,O
TIE,"Untreated, Unbaked, Own Rxn Temp",1.19,O
BOO-11,"Untreated, Unbaked, Own Rxn Temp",0.77,O
