"","sample","d13Cuu","d18Ouu","treatment","d13Cdpaa","d18Odpaa","rxn_time","treated","temp","baked"
"1","FE 01",-9.37,-0.69,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"2","FE 02",-15.29,-7.27,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"3","FE 03",-8.26,-3.43,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"4","FE 04",-10.62,-1.15,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"5","FE 05",-15.75,-5.38,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"6","FE 06",-13.68,-3.79,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"7","FE 07",-10.72,0.9,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"8","FE 08",-9.52,0.08,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"9","TIE",-15.05,-8.05,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"10","BOO-11",-14.46,-7.05,"Untreated, Unbaked, 50 Rxn Temp",NA,NA,NA,NA,NA,NA
"11","FE 01",-9.4,-1.59,"Untreated, Baked, 30 Rxn Temp",-9.31,-1.37,"24",FALSE,"30",TRUE
"12","FE 02",-15.52,-7.84,"Untreated, Baked, 30 Rxn Temp",-15.15,-7.23,"24",FALSE,"30",TRUE
"13","FE 03",-8.39,-4.08,"Untreated, Baked, 30 Rxn Temp",-8.31,-3.16,"24",FALSE,"30",TRUE
"14","FE 04",-10.71,-1.8,"Untreated, Baked, 30 Rxn Temp",-10.62,-1.82,"24",FALSE,"30",TRUE
"15","FE 05",-15.79,-6.11,"Untreated, Baked, 30 Rxn Temp",-15.8,-6.28,"24",FALSE,"30",TRUE
"16","FE 06",-13.73,-4.44,"Untreated, Baked, 30 Rxn Temp",-13.54,-3.77,"24",FALSE,"30",TRUE
"17","FE 07",-10.78,0.04,"Untreated, Baked, 30 Rxn Temp",-10.76,-0.15,"24",FALSE,"30",TRUE
"18","FE 08",-9.49,-0.79,"Untreated, Baked, 30 Rxn Temp",-9.38,-0.35,"24",FALSE,"30",TRUE
"19","TIE",-15.14,-8.55,"Untreated, Baked, 30 Rxn Temp",-14.89,-8.14,"24",FALSE,"30",TRUE
"20","BOO-11",-14.42,-8.3,"Untreated, Baked, 30 Rxn Temp",-14.32,-6.92,"24",FALSE,"30",TRUE
"21","FE 01",-9.64,-0.16,"Treated, Unbaked, 50 Rxn Temp",-9.52,1.25,"24",TRUE,"50",FALSE
"22","FE 02",-15.99,-6.7,"Treated, Unbaked, 50 Rxn Temp",-15.5,-4.2,"24",TRUE,"50",FALSE
"23","FE 03",-8.79,-2.58,"Treated, Unbaked, 50 Rxn Temp",-8.35,-0.58,"24",TRUE,"50",FALSE
"24","FE 04",-10.89,-0.54,"Treated, Unbaked, 50 Rxn Temp",-10.79,0.84,"24",TRUE,"50",FALSE
"25","FE 05",-16.14,-5.04,"Treated, Unbaked, 50 Rxn Temp",-15.95,-3.17,"24",TRUE,"50",FALSE
"26","FE 06",-14.33,-3.49,"Treated, Unbaked, 50 Rxn Temp",-13.84,-1.17,"24",TRUE,"50",FALSE
"27","FE 07",-10.98,1.46,"Treated, Unbaked, 50 Rxn Temp",-10.79,2.2,"24",TRUE,"50",FALSE
"28","FE 08",-9.76,-0.31,"Treated, Unbaked, 50 Rxn Temp",-9.35,2.2,"24",TRUE,"50",FALSE
"29","TIE",-15.2,-7.76,"Treated, Unbaked, 50 Rxn Temp",-15.3,-6.9,"24",TRUE,"50",FALSE
"30","BOO-11",-15.16,-7.42,"Treated, Unbaked, 50 Rxn Temp",-14.7,-3.84,"24",TRUE,"50",FALSE
"31","FE 01",-9.73,-0.99,"Treated, Baked, 30 Rxn Temp",-9.26,-0.48,"24",TRUE,"30",TRUE
"32","FE 02",-16.03,-7.42,"Treated, Baked, 30 Rxn Temp",-15.03,-5.27,"24",TRUE,"30",TRUE
"33","FE 03",-8.89,-3.19,"Treated, Baked, 30 Rxn Temp",-8.18,-2.36,"24",TRUE,"30",TRUE
"34","FE 04",-10.99,-1.04,"Treated, Baked, 30 Rxn Temp",-10.47,-1.22,"24",TRUE,"30",TRUE
"35","FE 05",-16.23,-5.32,"Treated, Baked, 30 Rxn Temp",-15.62,-4.73,"24",TRUE,"30",TRUE
"36","FE 06",-14.38,-3.83,"Treated, Baked, 30 Rxn Temp",-13.63,-2.68,"24",TRUE,"30",TRUE
"37","FE 07",-11.09,0.83,"Treated, Baked, 30 Rxn Temp",-10.65,0.97,"24",TRUE,"30",TRUE
"38","FE 08",-9.91,-0.4,"Treated, Baked, 30 Rxn Temp",-9.39,-0.22,"24",TRUE,"30",TRUE
"39","TIE",-15.31,-8.27,"Treated, Baked, 30 Rxn Temp",-14.65,-6.22,"24",TRUE,"30",TRUE
"40","BOO-11",-15.05,-8.06,"Treated, Baked, 30 Rxn Temp",-14.19,-6.67,"24",TRUE,"30",TRUE
"41","BOO-11",-14.55,-8.53,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"42","FE 01",-9.33,-1.03,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"43","FE 02",-15.51,-7.55,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"44","FE 03",-8.29,-3.9,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"45","FE 04",-10.59,-1.6,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"46","FE 05",-15.97,-5.67,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"47","FE 06",-13.74,-4.23,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"48","FE 07",-10.56,0.54,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"49","FE 08",-9.44,-0.82,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
"50","TIE",-15.21,-8.27,"Untreated, Unbaked, 30 Rxn Temp",NA,NA,NA,NA,NA,NA
