"","sample","type","value","lab","iso"
"95","FE 04","50-30, Treated",-0.29,"DPAA","C"
"96","FE 04","Baking-Not Baking, Treated",-1.27,"DPAA","O"
"97","FE 04","50-30, Treated",0.79,"DPAA","O"
"98","FE 04","Baking-Not Baking",-0.65,"UU","O"
"99","FE 04","Baking-Not Baking",-0.09,"UU","C"
"100","FE 04","Treated-Untreated",-0.27,"UU","C"
"101","FE 04","Treated-Untreated",0.61,"UU","O"
"102","FE 04","Treated-Untreated",1.76,"DPAA","O"
"103","FE 04","Baking-Not Baking, Treated",-0.5,"UU","O"
"104","FE 04","Baking-Not Baking, Treated",-0.1,"UU","C"
"105","FE 05","Untreated",-0.2,"interlab","C"
"106","FE 05","Treated",0.76,"interlab","C"
"107","FE 05","Untreated & Baked",-0.01,"interlab","C"
"108","FE 05","Untreated",-0.19,"interlab","O"
"109","FE 05","Untreated (50)",-0.88,"interlab","C"
"110","FE 05","Untreated (50)",-0.35,"interlab","O"
"111","FE 05","Untreated (30)",-0.04,"interlab","C"
"112","FE 05","Untreated & Baked",-0.17,"interlab","O"
"113","FE 05","Untreated (30)",-0.19,"interlab","O"
"114","FE 05","Treated",1.04,"interlab","O"
"115","FE 05","Baking-Not Baking",0.15,"DPAA","C"
"116","FE 05","50-30, Untreated",-0.68,"DPAA","C"
"117","FE 05","Baking-Not Baking",-0.71,"DPAA","O"
"118","FE 05","50-30, Untreated",-0.16,"DPAA","O"
"119","FE 05","Treated-Untreated",0.57,"DPAA","C"
"120","FE 05","Baking-Not Baking, Treated",-0.24,"DPAA","C"
"121","FE 05","50-30, Treated",-0.57,"DPAA","C"
"122","FE 05","Baking-Not Baking, Treated",-0.73,"DPAA","O"
"123","FE 05","50-30, Treated",0.83,"DPAA","O"
"124","FE 05","Baking-Not Baking",-0.73,"UU","O"
"125","FE 05","Baking-Not Baking",-0.04,"UU","C"
"126","FE 05","Treated-Untreated",-0.39,"UU","C"
"127","FE 05","Treated-Untreated",0.35,"UU","O"
"128","FE 05","Treated-Untreated",1.57,"DPAA","O"
"129","FE 05","Baking-Not Baking, Treated",-0.28,"UU","O"
"130","FE 05","Baking-Not Baking, Treated",-0.09,"UU","C"
"131","FE 06","Untreated",0.14,"interlab","C"
"132","FE 06","Treated",0.78,"interlab","C"
"133","FE 06","Untreated & Baked",0.19,"interlab","C"
"134","FE 06","Untreated",0.04,"interlab","O"
"135","FE 06","Untreated (50)",-0.05,"interlab","C"
"136","FE 06","Untreated (50)",0.94,"interlab","O"
"137","FE 06","Untreated (30)",-0.04,"interlab","C"
"138","FE 06","Untreated & Baked",0.67,"interlab","O"
"139","FE 06","Untreated (30)",0.04,"interlab","O"
"140","FE 06","Treated",1.6,"interlab","O"
"141","FE 06","Baking-Not Baking",0,"DPAA","C"
"142","FE 06","50-30, Untreated",-0.19,"DPAA","C"
"143","FE 06","Baking-Not Baking",-0.02,"DPAA","O"
"144","FE 06","50-30, Untreated",0.9,"DPAA","O"
"145","FE 06","Treated-Untreated",-0.01,"DPAA","C"
"146","FE 06","Baking-Not Baking, Treated",-0.08,"DPAA","C"
"147","FE 06","50-30, Treated",-0.29,"DPAA","C"
"148","FE 06","Baking-Not Baking, Treated",-0.79,"DPAA","O"
"149","FE 06","50-30, Treated",0.72,"DPAA","O"
"150","FE 06","Baking-Not Baking",-0.65,"UU","O"
"151","FE 06","Baking-Not Baking",-0.04,"UU","C"
"152","FE 06","Treated-Untreated",-0.65,"UU","C"
"153","FE 06","Treated-Untreated",0.3,"UU","O"
"154","FE 06","Treated-Untreated",1.86,"DPAA","O"
"155","FE 06","Baking-Not Baking, Treated",-0.34,"UU","O"
"156","FE 06","Baking-Not Baking, Treated",-0.05,"UU","C"
"157","FE 07","Untreated",-0.24,"interlab","C"
"158","FE 07","Treated",0.45,"interlab","C"
"159","FE 07","Untreated & Baked",0.02,"interlab","C"
"160","FE 07","Untreated",-0.19,"interlab","O"
"161","FE 07","Untreated (50)",-0.54,"interlab","C"
"162","FE 07","Untreated (50)",-0.31,"interlab","O"
"163","FE 07","Untreated (30)",-0.06,"interlab","C"
"164","FE 07","Untreated & Baked",-0.18,"interlab","O"
"165","FE 07","Untreated (30)",-0.19,"interlab","O"
"166","FE 07","Treated",0.14,"interlab","O"
"167","FE 07","Baking-Not Baking",0.2,"DPAA","C"
"168","FE 07","50-30, Untreated",-0.31,"DPAA","C"
"169","FE 07","Baking-Not Baking",-0.86,"DPAA","O"
"170","FE 07","50-30, Untreated",-0.13,"DPAA","O"
"171","FE 07","Treated-Untreated",0.43,"DPAA","C"
"172","FE 07","Baking-Not Baking, Treated",-0.12,"DPAA","C"
"173","FE 07","50-30, Treated",-0.26,"DPAA","C"
"174","FE 07","Baking-Not Baking, Treated",-0.63,"DPAA","O"
"175","FE 07","50-30, Treated",0.6,"DPAA","O"
"176","FE 07","Baking-Not Baking",-0.86,"UU","O"
"177","FE 07","Baking-Not Baking",-0.06,"UU","C"
"178","FE 07","Treated-Untreated",-0.26,"UU","C"
"179","FE 07","Treated-Untreated",0.57,"UU","O"
"180","FE 07","Treated-Untreated",0.89,"DPAA","O"
"181","FE 07","Baking-Not Baking, Treated",-0.63,"UU","O"
"182","FE 07","Baking-Not Baking, Treated",-0.11,"UU","C"
"183","FE 08","Untreated",-0.01,"interlab","C"
"184","FE 08","Treated",0.41,"interlab","C"
"185","FE 08","Untreated & Baked",0.11,"interlab","C"
"186","FE 08","Untreated",0.34,"interlab","O"
"187","FE 08","Untreated (50)",-0.08,"interlab","C"
"188","FE 08","Untreated (50)",1.15,"interlab","O"
